File_Name,Ground_Truth_LowerCase,Pred,CER
DSC02317,trendica,trendica,0.0
DSC03079,technology,technology,0.0
P1010035,hsbc,asi,0.75
DSC02712,tonymoly,tonymoly,0.0
083,chanel,chanele,0.17
108,m21,mo21,0.33
2007-12-08-day-111,9elephant,9,0.89
2007-12-08-day-117,open,open,0.0
080116-0055,nikewomencom,nikewomencom,0.0
080116-0064,leshop,leshop,0.0
080119-0004,migo,igo,0.25
080119-0035,emirates,i,0.88
DSC02306,clavita,clavita,0.0
DSC02354,twins,luins,0.4
DSC02384,nuree,ee,0.6
DSC02398,beautiplex,came,0.8
DSC02408,ministop,ministop,0.0
DSC02475,post,post,0.0
DSC02590,interior,inierior,0.12
DSC02868,parking,d,1.0
DSC02925,ecosway,ecosway,0.0
DSC03003,mix,l,1.0
DSC02676,café,cale,0.5
DSC02675,baguette,baguette,0.0
DSC02674,paris,paris,0.0
DSC02613,event,event,0.0
DSC02604,queen,queen,0.0
P090911064,pat,pat,0.0
P090911070,naviin,navin,0.17
P090911071,foodcourt,fcodcourt,0.11
P090911085,ashley,sashley,0.17
P090912059,evezary,good,1.0
P090903001,paper,daper,0.2
P090903002,activity,activity,0.0
P090903003,voice,voice,0.0
P090903004,interface,nterface,0.11
P090903005,lab,abe,0.67
P090911050,mourning,mourning,0.0
P090911075,open,e,0.75
P090903081,pamela,pamela,0.0
P090903082,pope,pope,0.0
